;alpha;beta;r2;se_beta;res_vol
2015-06-30;0.001672338963670462;1.1304463889711758;0.6778088215971478;0.0584175291533057;0.02558171389555688
2015-07-31;5.670077428192506e-05;1.5806739494702895;0.5168189493132473;0.11455604918933789;0.037669048587747965
2015-08-31;7.965794828361777e-05;1.5093231022335045;0.6089485565987716;0.09065648209165862;0.03682238345539348
2015-09-30;0.0012105308203650203;1.6633819241114982;0.6552985018883706;0.09042405410822436;0.032159194720543766
2015-10-31;-9.266214788721753e-05;1.5545639327704057;0.6459907740691133;0.08625667613667891;0.03267922988057272
2015-11-30;0.0007412726042023278;1.4192363360642326;0.6899463463256383;0.07131082940213043;0.03296277977851749
2015-12-31;-0.001454198948290606;1.2621311474138932;0.6594158635294298;0.06798717502843352;0.03288847386567959
2016-01-31;-0.002978922545911378;1.080319113736968;0.7975808211610205;0.04079252018036713;0.017465356225821783
2016-02-29;-0.00290913264204555;1.0013084471416154;0.7298885653707772;0.04565633893617474;0.017719343257974293
2016-03-31;-0.003698812233226969;0.9545877107328028;0.70167438271818;0.046653400160316806;0.016839525783501223
2016-04-30;-0.0013126139396327041;0.8647421164869644;0.5746109758371584;0.05576770746972133;0.017572673908152786
2016-05-31;0.00014973846168554717;0.7412156702046683;0.3945451295275625;0.06882197577197581;0.01792575082398275
2016-06-30;-0.0022309838108507227;0.9612048692869382;0.57622007027327;0.06178484518638451;0.01945112272719773
2016-07-31;-0.0008425184905770335;0.5590007161068646;0.3300250922535555;0.059697775893340084;0.02220202024063285
2016-08-31;-0.001203362277064554;0.5658689713488139;0.3725242495244546;0.05504616639403686;0.02188112974433369
2016-09-30;-0.0007427287901951407;0.5591517768253096;0.3535117737736767;0.0566758545159275;0.022026049683212215
2016-10-31;0.00028020815480210586;0.5494917208099879;0.3383553303827739;0.05759397450876519;0.02136637760554983
2016-11-30;4.2229052854926455e-05;0.5666676162072013;0.3480447726598931;0.058131257994130194;0.02013096888337873
2016-12-31;0.0011610631556223392;0.5084198845529186;0.19715261849273158;0.07690024959331625;0.018023847187701746
2017-01-31;-0.00046209537429635415;1.0362894844190578;0.660122388340173;0.055733990320071314;0.017077502341814266
2017-02-28;-0.0006931940219515906;1.0138740075452004;0.6773247582809989;0.052451550994511535;0.01641489536565123
2017-03-31;-0.0020210176992988705;0.855579969829362;0.45947678717753415;0.06955462194727317;0.02429158235545208
2017-04-30;-0.0004038756320771707;0.7919622099811655;0.3501626204604129;0.08086524568349117;0.029221216621015764
2017-05-31;-0.002098799791146424;0.7773403830928285;0.35486211988475447;0.07855931337630472;0.03618815946026521
2017-06-30;-0.0017267736783293276;0.8262598538907264;0.42680812194826456;0.07176956716890757;0.037230125988121886
2017-07-31;0.0024940317101651783;0.7034500689497334;0.4992681667433275;0.05280304139610717;0.03833116866086161
2017-08-31;0.0031194181145074093;0.6989649515338683;0.4670490248749912;0.05596387706163291;0.039951679170438036
2017-09-30;0.001183127406750543;0.8697226973973198;0.7092928850133957;0.04173359833268794;0.03703102808242672
2017-10-31;0.0021194201765523755;0.8712647642928801;0.6881617636975776;0.04396019023121912;0.034521670919942425
2017-11-30;0.0020970857549489955;0.8447298545078922;0.6346363209396169;0.04804056055254295;0.03155778276732426
2017-12-31;0.0011416786462913038;0.9116711124665366;0.7454988274443777;0.039925430172153865;0.029921183623170058
2018-01-31;-0.0003678482602936961;0.9943287712949086;0.8520110013663964;0.031060762969713225;0.026972571184178236
2018-02-28;-0.0011509716842862858;1.023086957450056;0.9093540708966714;0.024210858627044647;0.024251261684071015
2018-03-31;-0.0009436471202835414;1.0329068023112682;0.9170292269347732;0.02328745967858379;0.023808106822518698
2018-04-30;-0.0008624883887517775;1.027951679878322;0.9452239402495765;0.018547728810325768;0.02022083436780894
2018-05-31;-0.0007708066711770278;1.0396097343957236;0.9758047478982987;0.012269982648124496;0.012350867701651207
2018-06-30;-0.000763293723267236;1.045410625476105;0.9890426074271434;0.008247513192887985;0.006933660675053675
2018-07-31;-0.00111750828399346;1.0500395082058898;0.9885590690572795;0.008466911269157116;0.005852677115610297
2018-08-31;-0.0005110442186480277;1.0959031775420658;0.9777572651122396;0.012389128342533917;0.007102949934280056
2018-09-30;-0.001144469712961784;1.0823841115001835;0.9774455435512226;0.01232370530642457;0.007031500500739009
2018-10-31;-0.0005546239887563678;1.0907901244249547;0.9773497344319937;0.012446373966123102;0.0065010181445985605
2018-11-30;-0.0006817800783933476;1.0823147267175068;0.982669262400059;0.010773291331374531;0.006447633256388762
2018-12-31;-0.000721862292279626;1.0635652814337984;0.9819135012113144;0.010819190975699004;0.0070717259561359855
2019-01-31;-0.0004346354768419644;1.0598267853612064;0.9830017172134528;0.010446006144623453;0.00666075559423572
2019-02-28;-0.00048612872480511117;1.0242939587827269;0.9851132145311943;0.009437826791292977;0.005456355115917651
2019-03-31;0.0003693614695043352;1.0296433974375376;0.9807727652392565;0.010805653907914837;0.005324773725132292
