;alpha;beta;r2;se_beta;res_vol
2015-04-30;-0.0028304859028455277;0.37116490272317254;0.4505290872485691;0.07923501825301849;0.023777257686590114
2015-05-31;-0.0031275228428247724;0.305947477478106;0.3360871296695773;0.0889854416824949;0.024092099123674687
2015-06-30;0.0040498878678882815;0.5369180071321988;0.42504956779495295;0.14179833955274027;0.030782436635848995
2015-07-31;0.005456306373017863;0.6193516552195422;0.305009799551751;0.24001726798820522;0.0546875362751061
2015-08-31;0.002547913936772706;0.903313951149926;0.49201774299332446;0.1752658290668001;0.05061444097685396
2015-09-30;-0.001672444436863026;0.699814381073565;0.3901307196774295;0.18967500823482036;0.05062307497356602
2015-10-31;-0.001472949157055225;0.5826714081123617;0.5944669536996983;0.0945371045120797;0.024284643411438288
2015-11-30;0.00265387632923346;0.34640809942092676;0.38738691014963245;0.11154066369984746;0.028215332400720567
2015-12-31;0.0014407640706122122;0.3708396176651565;0.4337309022192781;0.09978046756147997;0.028272362040280902
2016-01-31;-0.0024331029871048323;0.39236957862427563;0.48686297691087455;0.08884645119226658;0.028707960325198793
2016-02-29;-0.0011988266968685434;0.31588765054727097;0.409736883262357;0.08887344647726218;0.024229623931043387
2016-03-31;-0.0018418073256870953;0.2422680571220811;0.33450579414883563;0.09196974721710847;0.02223936651744861
2016-04-30;0.0019111790378040785;0.05292081538848662;0.038056721513920144;0.11161768207787152;0.015588908391045502
2016-05-31;0.0029429502322318823;0.048800188766550824;0.02256707668394098;0.13612157742477266;0.018273723149034624
2016-06-30;0.003217608615005407;0.22379059644829327;0.2108533978842898;0.12661108665183854;0.02913586367031397
2016-07-31;0.0011975259917569626;0.20854444014538795;0.20776242132230927;0.09612099593625609;0.031121184591333145
2016-08-31;-0.001850904174880168;0.23733549612296037;0.27886907768453906;0.08352209692052025;0.02899198610528444
2016-09-30;-0.002019193419763121;0.13840236248514448;0.1834027398395346;0.061667608780523075;0.017700848740150474
2016-10-31;0.001819640714612169;0.04007188693796818;0.02402888834318684;0.1068451384110034;0.012105741687893924
2016-11-30;0.0015662389818761283;0.05525824999613681;0.03427877388438727;0.1396492570982636;0.014035011069890007
2016-12-31;0.0030736110787652738;0.09536825321709091;0.05238863802262883;0.18507324299911493;0.02149399424014392
2017-01-31;0.0004382042849329995;0.38163534227143237;0.4029649822310847;0.10682669541460325;0.02734000693823232
2017-02-28;0.0006899697955722762;0.40531274458903477;0.44391792766502225;0.09969589071982586;0.02621887609129146
