;alpha;beta;r2;se_beta;res_vol
2015-06-30;0.0002956927670644411;0.6341860995685243;0.6106714206009645;0.05878336971801054;0.030916165046103172
2015-07-31;0.0015804767300663949;0.497989984344489;0.30913971985881583;0.114034441305551;0.04302566135881437
2015-08-31;-0.00026114613762603565;0.6105933186599913;0.38556888531628364;0.10666929749240993;0.04262972327345155
2015-09-30;0.0009044395962086899;0.6339392192727902;0.3965270968807527;0.12177042561999932;0.04216328561366268
2015-10-31;0.001958447125032324;0.6097085057814047;0.3820076566328615;0.12197869646572294;0.04230585877658749
2015-11-30;0.0022535484124144595;0.5939207196676147;0.40399887655735955;0.1125517266895994;0.04337527293627436
2015-12-31;-0.0007196181713211452;0.5145621807514797;0.36903965468115796;0.10711079636559025;0.0420304764786384
2016-01-31;-0.0017528049313515616;0.4678131618117637;0.5300105276615628;0.06481799500868138;0.027332704845765228
2016-02-29;0.0003941800268034961;0.33269869493769083;0.393851466067092;0.07085705771429823;0.026612399191201275
2016-03-31;-0.00021886346801005966;0.3072754503238634;0.3821086755472909;0.06896919638077618;0.02576878137547531
2016-04-30;-0.00053692791434477;0.2666143976285134;0.32619736686640144;0.07078865741875935;0.025006971467296604
2016-05-31;0.0009768170422126397;0.2035806828341496;0.22797588715878114;0.07418944945084413;0.022640022272343352
2016-06-30;0.0007036573570054739;0.23100739802881615;0.2571609171267384;0.07764818975666997;0.025999078631578205
2016-07-31;0.001445413953326383;0.15411545275661215;0.15042709355617345;0.07060360498547955;0.02498069293703777
2016-08-31;0.0007946743033230325;0.1745611729949721;0.18274172523215526;0.06638900336542819;0.02475966243116119
2016-09-30;0.0009692613611147016;0.185055421086536;0.1882620483998031;0.06679437428712405;0.02471011791661641
2016-10-31;0.0008810162146140958;0.1882003572269206;0.1982214882903376;0.06575283198745623;0.024140655914662447
2016-11-30;-0.00021413877138421554;0.18677911976559106;0.20891749894491474;0.06354690840014889;0.02305613160469456
2016-12-31;0.0006576046155096478;0.1101363983502564;0.09791955086748771;0.06147737876583463;0.018910165905971738
2017-01-31;0.001212890856967414;0.25240664283583486;0.26198442317156767;0.08261326877380631;0.02269512930103239
2017-02-28;0.0014118057070219461;0.27541996095307514;0.29793431332256193;0.07901717163411648;0.02242411490762957
2017-03-31;0.0018234665525871524;0.2688177543949094;0.25877675913877096;0.08037233794259532;0.029576388164780292
2017-04-30;0.0035346354431590532;0.24833938635470296;0.21204336131554513;0.08672856117222182;0.03414297713679965
2017-05-31;0.005535067186052676;0.20766649011149774;0.17722936872562067;0.08785112309280585;0.04231324765281857
2017-06-30;0.005677814851104822;0.22673680864822832;0.20906378540338;0.08356193765600868;0.04450987663210194
2017-07-31;0.006630532641257982;0.25524182025746217;0.26071414728337994;0.06878931274462893;0.044112559410478126
2017-08-31;0.008565422181342357;0.237186157802632;0.23644033062615888;0.07105317828612004;0.045939605252479816
2017-09-30;0.005389189605300218;0.3853814052625059;0.43759705835576035;0.05946538298258141;0.044536296320864435
2017-10-31;0.003954799081760675;0.38637725199880063;0.4581505370580723;0.05704143262912537;0.04222744648514367
2017-11-30;0.004425262672904988;0.4874003538236325;0.5505600060321711;0.051323827570276835;0.03654507018471552
2017-12-31;0.0054597278274957604;0.451795310259754;0.5702445253807453;0.04938336126757694;0.038148328196635974
2018-01-31;0.004897277158869845;0.43476338569116874;0.563946720116149;0.05388042139621292;0.04201345049712926
2018-02-28;0.0014836174125743375;0.5172982245922674;0.6724822381839732;0.04611731677736005;0.040457876476635866
2018-03-31;0.0008293264085791692;0.45774447637243576;0.6084386246940625;0.05099538776498403;0.04138485534406477
2018-04-30;0.0014411031049548699;0.5123461613031913;0.6890314984922743;0.044455738903625336;0.03843389678216587
2018-05-31;-0.000732822421841277;0.5481640568766613;0.7516206047970576;0.03946821149320727;0.03430660505921687
2018-06-30;-0.0029513894081186287;0.6746620616256079;0.8638179426482926;0.029097263451237445;0.023631940778669074
2018-07-31;-0.0017796968095232894;0.818801019856665;0.9397078692971167;0.01951005821797671;0.013717357563865273
2018-08-31;-0.0010934151616481987;0.9539230818749954;0.9690578410760153;0.01428585310287846;0.009007518361396238
2018-09-30;-0.0011599684546488454;1.0610539722000976;0.9797595691660944;0.01146978621166293;0.006986824085162518
2018-10-31;-0.0008420586865106649;1.051617840812948;0.9776775678908306;0.012318691963226573;0.006668445988108638
2018-11-30;-0.0008044030903718033;1.0791565465975193;0.9808917828525067;0.011385681061406194;0.006454399889017573
2018-12-31;-0.0008204684838101738;1.0752741249289897;0.9785521431192571;0.011977229944849689;0.007039685626362009
2019-01-31;-0.00013463646109107032;1.119074659894709;0.9799333138296612;0.011561756100485895;0.006846643732867475
2019-02-28;-0.0004172141009523107;1.0863098036091823;0.9824803794228084;0.010337432633027218;0.005877055418219369
2019-03-31;0.00016800536157252554;1.0879511981910615;0.9810901250621379;0.010764221331376608;0.005709784127031744
2019-04-30;-0.0004333754505078042;1.0365474204553553;0.9813965330857086;0.010653731883561047;0.005852929534655707
2019-05-31;-0.00032395800861027444;0.9619308110265261;0.9704849306253112;0.013225979792777095;0.00699132381695115
2019-06-30;-0.00013193107098427147;0.8526193306632786;0.9434295715996788;0.01812769989931394;0.008911785465563841
2019-07-31;-0.00043222419565915396;0.8451448173576536;0.9444008250109157;0.01788711917059254;0.00937357043019672
2019-08-31;-0.0011077696052459157;0.8150187369924433;0.9284550345213929;0.02044693560889421;0.010553235470785061
2019-09-30;-0.001971085143122472;0.8302847685670236;0.9329715381577691;0.02004413770599161;0.01049604035993098
2019-10-31;-0.0013710694192881655;0.8428332221238302;0.9409623308400398;0.01851546708601502;0.009829872228911136
2019-11-30;-0.0011632291128619633;0.8138441751177667;0.9194585428271602;0.02133373826545525;0.010474524891637329
2019-12-31;-0.0012090892196389021;0.8447045873490525;0.9118069888425401;0.022461809962589674;0.01035436461919193
2020-01-31;-0.000275667148175973;0.8032587347860659;0.8964973452560873;0.023596527137462287;0.010570626163248166
2020-02-29;0.0002492292055390971;0.786923897843577;0.8966904154757072;0.023918514259251754;0.011005444397121738
2020-03-31;0.00011882040864037474;1.2414971161541213;0.9032334190304552;0.023276498619046095;0.0166482961333925
2020-04-30;-0.00023137893561264969;1.2726929901108448;0.8883823301579207;0.02502000331204345;0.018092375863302434
2020-05-31;-0.0008660516820528669;1.2938922933221355;0.9049333627355192;0.023275071941925476;0.01668489753761272
2020-06-30;-0.0006963684289507479;1.2998976442329067;0.8996273365061496;0.02387488851154904;0.017030156930971593
2020-07-31;-0.0005328566863153986;1.3119922386492269;0.903035562685933;0.023705363363029575;0.016290352666304957
2020-08-31;-0.0006209544399232813;1.2940219333084655;0.9112073900274096;0.022664218851053394;0.015369732714935209
2020-09-30;0.0007704070602639079;0.7721256383689356;0.9091369942336032;0.023685986869122454;0.009821375772092833
