;alpha;beta;r2;se_beta;res_vol
2015-06-30;0.00036649834921490904;1.0777232321682848;0.7351937670038635;0.048479757322414226;0.025497146318163005
2015-07-31;1.759010278105759e-05;1.288929672040126;0.4958571579657496;0.09741318196094613;0.03675439219021463
2015-08-31;-0.0004820435680994298;1.3460447154489839;0.5496589485275494;0.09132161926555701;0.0364961188429239
2015-09-30;0.0010356035328868013;1.684827972726744;0.6490307191123379;0.09286402209604934;0.032154377936461316
2015-10-31;0.0004901779489230635;1.6473864254990664;0.6332658701827122;0.09396542995121959;0.03259002042635134
2015-11-30;0.001025426992239327;1.58372445236971;0.662951864519056;0.08463979198434374;0.03261854959111568
2015-12-31;-0.001238620075539752;1.4178999131851584;0.6211646300632857;0.08299605992469544;0.03256780887500921
2016-01-31;-0.002368790079951987;1.1352807795760016;0.8099971897217859;0.04121274484698387;0.01737875092612122
2016-02-29;-0.0021853716245058266;1.0390364266342296;0.7322415594279601;0.04709395560782057;0.01768748500934626
2016-03-31;-0.003268012720282653;1.005652792135291;0.7380365861358877;0.044907557810862274;0.016778693968619
2016-04-30;-0.0022030029132476697;0.9431141616905236;0.6719142981099938;0.049395908295770855;0.017449717432078266
2016-05-31;-0.0013497212282764558;0.812342210017148;0.5200015120314001;0.058498758652423946;0.017851772840999935
2016-06-30;-0.002338149338688017;0.9196535941102246;0.5854106474777416;0.058008686918496026;0.019423149686229844
2016-07-31;-0.0005633425259615439;0.5867675263063585;0.329654523679231;0.06271564469037502;0.022189805501869594
2016-08-31;-0.000568099997535044;0.5897539533778504;0.36231703008977934;0.05864336671379488;0.02187094081934168
2016-09-30;-0.00015586758362993417;0.5901672675883429;0.35601337515956477;0.05949361846169945;0.02200925367090639
2016-10-31;-0.0003166186379992739;0.5995695077264693;0.3745282321191109;0.0580752532328808;0.021321890830790682
2016-11-30;-0.0009872077414299365;0.6015531863995837;0.3982547692874111;0.05542297908072649;0.02010860216146203
2016-12-31;0.0002528325927452121;0.3865914275561926;0.2004006026211952;0.057880055102943986;0.0178036452857311
2017-01-31;-0.00011253472617024141;0.9804804528788644;0.5840147194016414;0.062023464874789214;0.017038795049805495
2017-02-28;-3.223350955556094e-05;0.9939200509937479;0.6240475585966689;0.05782279244902856;0.016409407162293322
2017-03-31;-0.0010666472553880766;0.8810664989087015;0.5004183180675541;0.06598349881280512;0.024281408545707726
2017-04-30;-0.0010852597706236715;0.8495922356979589;0.42479471330021457;0.07410071807607067;0.02917169487070949
2017-05-31;-0.0021451666951667007;0.8163172665968894;0.3991003498669141;0.07507734445547493;0.036160792909893054
2017-06-30;-0.0022379512027037463;0.8378416128118092;0.44671270850163036;0.06988969077130514;0.03722725443362021
2017-07-31;0.0015039997665848449;0.7094994191697005;0.441829328203702;0.05977206768228738;0.03833006584191953
2017-08-31;0.0022947083776484155;0.7051987560232068;0.42255090447327404;0.06179009618646298;0.03995053698918602
2017-09-30;0.0011935831614315016;0.8281013698739869;0.6127257708706353;0.049345746977897745;0.03695724637350436
2017-10-31;0.0011633224008357696;0.8268961435544722;0.639704975863133;0.04651362991366897;0.03443377431944684
2017-11-30;0.0029265996287609723;0.8329170635518237;0.6649931289154882;0.04431084545945919;0.03155148464020305
2017-12-31;0.001975202191925796;0.8633522975617691;0.7379317901717672;0.03856355909825968;0.029790100777863898
2018-01-31;0.0003946431374935652;0.9859766479235255;0.8203342535307633;0.034585483225497;0.026968153733033785
2018-02-28;-0.000564320777296473;1.0099658107801943;0.8824703811945223;0.02762614367148924;0.024235909334942206
2018-03-31;-0.0006457592225272372;1.014552100625627;0.8706964119841583;0.029304631457121224;0.02378191414786807
2018-04-30;-0.0011595468140015207;1.0168580957476596;0.9140320696752409;0.023374259878240267;0.020208052181234726
2018-05-31;-0.001018224573891176;1.0394273939054997;0.9678075064701213;0.014209113150140333;0.012350861988450763
2018-06-30;-0.0008262600681226209;1.0457828825332163;0.9882769223753483;0.0085371521418237;0.006933623643754909
2018-07-31;-0.0008967820424732424;1.054253910168278;0.9890401905539721;0.008318207523853646;0.005848461630421928
2018-08-31;-0.0005011412953333716;1.073293516410663;0.9811948535840179;0.011137025998154618;0.007022119396531671
2018-09-30;-0.0011517243478447554;1.0646766241997434;0.9797709125423465;0.01146657174613107;0.006984865992414801
2018-10-31;-0.00062566546847336;1.088299679901646;0.9787895416027302;0.012007949904307662;0.0065002327847652796
2018-11-30;-0.0007409870439566936;1.0883914291423566;0.9809624056456336;0.011364621196594314;0.006442461315613713
2018-12-31;-0.0007979661255983067;1.0793680218083752;0.9785662205994176;0.011973298622154741;0.007037374968889817
2019-01-31;-0.00035118856438893543;1.0786951683296628;0.9813083994539199;0.011158587410996762;0.006607895193528962
2019-02-28;-0.0006230314393448804;1.0341316013048685;0.9849879752237564;0.009569075483102263;0.005440227657265761
2019-03-31;3.233706393184323e-05;1.0357501809068304;0.9835885214843056;0.010027949656986826;0.0053192354574907565
2019-04-30;-0.0004392461006775385;1.0323824543583244;0.9814125063360866;0.010649157164449998;0.005850416283065517
2019-05-31;-0.0005112552404345841;1.0131310923941077;0.9729698528000558;0.012656981812496687;0.006690548434434386
2019-06-30;-0.0007073999123774826;0.9983679177863507;0.9639739386815626;0.014466263154663367;0.007111781110610167
2019-07-31;-0.001004873575258016;0.9948775999974462;0.9662885858859287;0.013928190945921142;0.0072989326873532075
2019-08-31;-0.00148978712404627;0.9999715989084739;0.9613420701838338;0.01502996560441635;0.007757385711735221
2019-09-30;-0.0018529400264699705;1.014583920914748;0.9648070012088559;0.014523988231595715;0.007605434012779827
2019-10-31;-0.0014082370116602553;0.9983965857999018;0.9643751928847857;0.014382895719864931;0.007635887690611537
2019-11-30;-0.0006598088996002008;0.9751143849144563;0.945315288099491;0.01757883887519066;0.008630929238614493
2019-12-31;-0.0007521097765995802;0.9719480831611116;0.9277069423968795;0.02033648823759343;0.00937464143079559
2020-01-31;-0.00022579532108321057;0.9359823620451327;0.9148937006964644;0.02139701534790336;0.009585302486859706
2020-02-29;0.000178007579767746;0.9550625750223217;0.9253709649120473;0.0203290837453108;0.009353866982641268
2020-03-31;-3.486523238093765e-05;0.9832871107825832;0.9701318949598248;0.012931794322553458;0.00924934393877565
2020-04-30;-0.00018352202537718238;0.9847704774606483;0.9714227375587094;0.012659926915041858;0.009154601352055904
2020-05-31;-0.0003623853461305088;1.0016471462399459;0.9891350282725428;0.007868487626992129;0.0056405801949790365
2020-06-30;-0.00011837775920398638;0.9997415282212881;0.9887538947678377;0.007991617686129266;0.005700487491754121
