;0
2015-01-31;1.2839991990610753
2015-02-28;1.3406385946894108
2015-03-31;1.403177043303104
2015-04-30;1.663315311732298
2015-05-31;1.5646330200968435
2015-06-30;1.421952791464229
2015-07-31;1.1472184867272488
2015-08-31;1.0396198407050585
2015-09-30;1.0069575864216733
2015-10-31;0.9619064408768572
2015-11-30;0.8320348431627586
2015-12-31;0.915760610106531
2016-01-31;0.5833312653180609
2016-02-29;0.5965447834717705
2016-03-31;0.5909151254299355
2016-04-30;0.6030140433440627
2016-05-31;0.6090637417866254
2016-06-30;0.4304974702873039
2016-07-31;0.9149723511773016
2016-08-31;0.9929599387387684
2016-09-30;0.820128540058055
2016-10-31;0.857706409937795
2016-11-30;0.8117104561729171
2016-12-31;0.8387588229714555
2017-01-31;0.7084465360723288
2017-02-28;0.703163173328931
2017-03-31;0.8192189340331093
2017-04-30;0.8318035665592183
2017-05-31;0.8261401629790694
2017-06-30;0.864698232440972
2017-07-31;0.9795013359573945
2017-08-31;1.0128003429975247
2017-09-30;1.0140426818927248
2017-10-31;1.014810221721264
2017-11-30;1.0403383126870058
2017-12-31;1.046207915687987
2018-01-31;1.0550307534532424
2018-02-28;1.0726562786049534
2018-03-31;1.0675727985641645
2018-04-30;1.0853516906007064
2018-05-31;1.0881463229313106
2018-06-30;1.0854102704893176
2018-07-31;1.077719943152441
2018-08-31;1.0343616980840018
2018-09-30;1.0353530424822586
2018-10-31;1.031729382238993
2018-11-30;1.013831205486201
2018-12-31;0.9907238841453536
2019-01-31;0.9954448545071093
2019-02-28;0.9983107723380629
2019-03-31;1.0058989285477473
2019-04-30;0.9990142255394655
2019-05-31;1.0023921731334735
2019-06-30;0.9674822307729493
2019-07-31;0.9356450128442403
2019-08-31;0.9536689119029369
2019-09-30;0.9836765669962724
2019-10-31;0.9865401672758523
2019-11-30;0.9928181681196029
2019-12-31;0.9998808594963549
2020-01-31;1.011279016357198
2020-02-29;1.0098273519046916
2020-03-31;1.0323600358039282
2020-04-30;1.055480323606564
2020-05-31;1.057940758962828
2020-06-30;1.0664583424786769
2020-07-31;0.9859199550093107
2020-08-31;0.9732127965272825
2020-09-30;0.9339321862960879
2020-10-31;0.9548635556889539
2020-11-30;1.0290940925958476
2020-12-31;1.0467201679243687
2021-01-31;1.0767592344616153
2021-02-28;1.0695489093303974
2021-03-31;1.086673595100835
2021-04-30;1.0821836023671318
2021-05-31;1.0573340297001697
2021-06-30;1.0358583856138048
2021-07-31;1.0486387448542078
2021-08-31;1.0822683236041015
2021-09-30;1.0607145490777539
2021-10-31;1.0565257198060254
2021-11-30;1.1329585549570627
2021-12-31;1.1088905303231384
2022-01-31;1.0957089085628344
2022-02-28;1.0991866612343648
2022-03-31;1.0908842932488239
2022-04-30;1.1173971117164014
2022-05-31;1.0140204370295236
2022-06-30;1.0283086377311206
2022-07-31;1.0351035291804396
2022-08-31;1.0390802640869483
2022-09-30;1.0340754071347253
2022-10-31;0.9869382823804785
2022-11-30;0.9742504349801719
2022-12-31;0.9620812439943656
2023-01-31;1.0148556326902625
2023-02-28;1.0069548408482782
2023-03-31;1.0304146175002487
2023-04-30;1.0429017243456744
2023-05-31;1.0296450116820997
2023-06-30;0.99746072173808
2023-07-31;0.9707003696322443
2023-08-31;0.975016385943706
2023-09-30;0.9863630561048151
2023-10-31;1.0041505766705343
2023-11-30;0.9926418380388475
2023-12-31;1.0064646540181916
2024-01-31;0.9928494363629197
2024-02-29;0.9848571388249245
2024-03-31;0.9743354705065297
2024-04-30;0.9609790095975317
2024-05-31;0.9906709027796489
2024-06-30;1.01445402573058
2024-07-31;0.9120418906820749
2024-08-31;0.9249810460283587
2024-09-30;0.933553771802015
2024-10-31;0.9194086904844769
2024-11-30;0.8901948952633727
2024-12-31;0.8540004973844024
2025-01-31;0.921985901375524
2025-02-28;0.9234637635113058
2025-03-31;0.9076061752030411
2025-04-30;0.9777249291366528
2025-05-31;1.0090190904837135
2025-06-30;1.0262729316215853
2025-07-31;1.040970939215887
