window;estimator;diagonal_mean;off_diagonal_mean;extreme_stickiness;interpretation
30;ols;0.36640722578219187;0.15839819355445203;0.48985581260745964;STABLE
30;sw;0.3753993184534983;0.1561501703866254;0.5004078164825828;STABLE
30;vck;0.3597113774234405;0.16007215564413987;0.49617718138953204;STABLE
30;vr;0.36612281466206725;0.1584692963344832;0.49036769220274234;STABLE
30;wls;0.3669698580065963;0.15825753549835092;0.4669029055010866;STABLE
90;ols;0.5846656522320526;0.10383358694198686;0.7298048966966061;STABLE
90;sw;0.5940787512396513;0.10148031219008717;0.7445367502112081;STABLE
90;vck;0.5823187859089433;0.10442030352276424;0.7328014308760609;STABLE
90;vr;0.5846656522320526;0.10383358694198686;0.7298048966966061;STABLE
90;wls;0.5680913253098284;0.1079771686725429;0.704734877990058;STABLE
180;ols;0.7018616076844107;0.07453459807889731;0.8192511597084162;STABLE
180;sw;0.7041864686565915;0.07395338283585211;0.8320518386497273;STABLE
180;vck;0.6972831492737781;0.07567921268155549;0.8195470717022442;STABLE
180;vr;0.7018616076844107;0.07453459807889731;0.8192511597084162;STABLE
180;wls;0.6850991915924409;0.07872520210188974;0.8033028940075417;STABLE
365;ols;0.7986037829481293;0.05034905426296767;0.8935337389882845;STABLE
365;sw;0.8064730157216106;0.04838174606959731;0.8988882395313753;STABLE
365;vck;0.8016505892934183;0.04958735267664545;0.8957743287640195;STABLE
365;vr;0.7986037829481293;0.05034905426296767;0.8935337389882845;STABLE
365;wls;0.7922869166205719;0.051928270844857;0.8861502984264786;STABLE
